,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county,median_income
133,84000.0,2387 Campbell Rd,2.0,Home for sale,Rose City,MI 48654,1.0,952.0,MI,48654,135,50750
134,319900.0,32247 Lancaster Dr,4.0,House for sale,Warren,MI 48088,2.0,1836.0,MI,48088,99,77656
135,525000.0,7215 E McDonald Dam Rd,4.0,House for sale,Ironwood,MI 49938,3.0,1530.0,MI,49938,53,27052
136,625000.0,10300 Clark Rd,4.0,House for sale,Davisburg,MI 48350,3.0,3408.0,MI,48350,125,59762
137,234900.0,2950 Hartline Dr,3.0,House for sale,Rochester Hills,MI 48309,1.0,1008.0,MI,48309,125,59762
138,164900.0,20153 McIntyre St,3.0,House for sale,Detroit,MI 48219,2.0,1075.0,MI,48219,163,55023
139,11500000.0,1558 Dutton Rd,7.0,"- ba22,181 sqft- House for sale",Rochester,MI 48306,,,MI,48306,99,77656
140,99800.0,13812 Timbers Rd,2.0,House for sale,Carleton,MI 48117,1.0,1896.0,MI,48117,163,55023
141,584900.0,1558 Greenwich Dr,4.0,House for sale,Troy,MI 48098,4.0,2792.0,MI,48098,125,59762
142,243900.0,13266 Heather Ln,3.0,House for sale,Perry,MI 48872,2.0,2000.0,MI,48872,65,64813
143,189000.0,21052 Le Fever Ave,3.0,House for sale,Warren,MI 48091,2.0,1244.0,MI,48091,99,77656
